tab 	specimens
analysts	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	experiments	instrument_codes	method_codes	result_quality	sample	specimen	volume
	0.3449000120:0.3391999900:0.3158000112:0.0001000000:0.0009000000:-0.0052000000	15	0.0047	SI	0	AMS	This study	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	318-u1356a-14r-2-w-52	
	0.3418:0.3438:0.3144:0.0003:0.0011:-0.0054	15	0.0001	SI	-1	AMS	This study	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	318-u1356a-14r-2-w-52	
	0.3418000042:0.3438000083:0.3143999875:0.0003000000:0.0011000000:-0.0054000001	15	0.0001	SI	0	AMS	This study	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	318-u1356a-14r-2-w-52	
	0.3418:0.3438:0.3145:0.0003:0.0011:-0.0055	15	0.0001	SI	-1	AMS	This study	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	318-u1356a-14r-2-w-52	
	0.3418000042:0.3438000083:0.3145000041:0.0003000000:0.0011000000:-0.0055000000	15	0.0001	SI	0	AMS	This study	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	318-u1356a-14r-2-w-52	
	0.3449:0.3392:0.3158:0.0001:0.0009:-0.0052	15	0.0047	SI	-1	AMS	This study	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	318-u1356a-14r-2-w-52	
	0.3449000120:0.3391999900:0.3158000112:0.0001000000:0.0009000000:-0.0052000000	15	0.0047	SI	0	AMS	This study	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	318-u1356a-14r-2-w-52	
							This study					318-u1356a-14r-3-w-137	318-u1356a-14r-3-w-137	7.000e-06
	0.3330:0.3391:0.3279:0.0038:-0.0028:-0.0001	15	0.0001	SI	-1	AMS	This study	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	318-u1356a-14r-3-w-137	
	0.3330000043:0.3391000032:0.3278999925:0.0038000001:-0.0027999999:-0.0001000000	15	0.0001	SI	0	AMS	This study	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	318-u1356a-14r-3-w-137	
	0.3330:0.3391:0.3279:0.0038:-0.0029:-0.0001	15	0.0002	SI	-1	AMS	This study	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	318-u1356a-14r-3-w-137	
	0.3330000043:0.3391000032:0.3278999925:0.0038000001:-0.0029000000:-0.0001000000	15	0.0002	SI	0	AMS	This study	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	318-u1356a-14r-3-w-137	
	0.3331:0.3391:0.3278:0.0037:-0.0029:-0.0000	15	0.0002	SI	-1	AMS	This study	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	318-u1356a-14r-3-w-137	
	0.3330999911:0.3391000032:0.3278000057:0.0037000000:-0.0029000000:-0.0000000000	15	0.0002	SI	0	AMS	This study	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	318-u1356a-14r-3-w-137	
	0.3331:0.3391:0.3279:0.0037:-0.0029:-0.0000	15	0.0002	SI	-1	AMS	This study	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	318-u1356a-14r-3-w-137	
	0.3330999911:0.3391000032:0.3278999925:0.0037000000:-0.0029000000:-0.0000000000	15	0.0002	SI	0	AMS	This study	318-u1356a-14r-3-w-137_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-3-w-137	318-u1356a-14r-3-w-137	
							This study					318-u1356a-14r-5-w-18	318-u1356a-14r-5-w-18	7.000e-06
	0.3532:0.3529:0.2939:-0.0010:0.0038:-0.0032	15	0.0001	SI	-1	AMS	This study	318-u1356a-14r-5-w-18_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-5-w-18	318-u1356a-14r-5-w-18	
	0.3531999886:0.3528999984:0.2939000130:-0.0010000000:0.0038000001:-0.0031999999	15	0.0001	SI	0	AMS	This study	318-u1356a-14r-5-w-18_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-5-w-18	318-u1356a-14r-5-w-18	
	0.3524:0.3522:0.2954:-0.0010:0.0032:-0.0030	15	0.0001	SI	-1	AMS	This study	318-u1356a-14r-5-w-18_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-5-w-18	318-u1356a-14r-5-w-18	
	0.3524000049:0.3522000015:0.2953999937:-0.0010000000:0.0031999999:-0.0030000000	15	0.0001	SI	0	AMS	This study	318-u1356a-14r-5-w-18_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-5-w-18	318-u1356a-14r-5-w-18	
	0.3534:0.3527:0.2938:-0.0011:0.0083:-0.0030	15	0.0005	SI	-1	AMS	This study	318-u1356a-14r-5-w-18_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-5-w-18	318-u1356a-14r-5-w-18	
	0.3533999920:0.3526999950:0.2937999964:-0.0011000000:0.0082999999:-0.0030000000	15	0.0005	SI	0	AMS	This study	318-u1356a-14r-5-w-18_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-5-w-18	318-u1356a-14r-5-w-18	
							This study					318-u1356a-15r-5-w-38	318-u1356a-15r-5-w-38	7.000e-06
	0.3410:0.3430:0.3160:-0.0001:-0.0010:-0.0005	15	0.0001	SI	-1	AMS	This study	318-u1356a-15r-5-w-38_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-5-w-38	318-u1356a-15r-5-w-38	
	0.3409999907:0.3429999948:0.3160000145:-0.0001000000:-0.0010000000:-0.0005000000	15	0.0001	SI	0	AMS	This study	318-u1356a-15r-5-w-38_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-5-w-38	318-u1356a-15r-5-w-38	
	0.3411:0.3430:0.3159:-0.0001:-0.0015:-0.0005	15	0.0002	SI	-1	AMS	This study	318-u1356a-15r-5-w-38_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-5-w-38	318-u1356a-15r-5-w-38	
	0.3411000073:0.3429999948:0.3158999979:-0.0001000000:-0.0015000000:-0.0005000000	15	0.0002	SI	0	AMS	This study	318-u1356a-15r-5-w-38_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-5-w-38	318-u1356a-15r-5-w-38	
	0.3407:0.3430:0.3162:-0.0001:-0.0008:-0.0004	15	0.0002	SI	-1	AMS	This study	318-u1356a-15r-5-w-38_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-5-w-38	318-u1356a-15r-5-w-38	
	0.3407000005:0.3429999948:0.3161999881:-0.0001000000:-0.0008000000:-0.0004000000	15	0.0002	SI	0	AMS	This study	318-u1356a-15r-5-w-38_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-5-w-38	318-u1356a-15r-5-w-38	
							This study					318-u1356a-15r-6-w-56	318-u1356a-15r-6-w-56	7.000e-06
	0.3447:0.3471:0.3082:0.0002:-0.0017:0.0023	15	0.0002	SI	-1	AMS	This study	318-u1356a-15r-6-w-56_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-6-w-56	318-u1356a-15r-6-w-56	
	0.3447000086:0.3470999897:0.3082000017:0.0002000000:-0.0017000000:0.0023000001	15	0.0002	SI	0	AMS	This study	318-u1356a-15r-6-w-56_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-6-w-56	318-u1356a-15r-6-w-56	
	0.3448:0.3472:0.3080:0.0004:-0.0012:0.0026	15	0.0001	SI	-1	AMS	This study	318-u1356a-15r-6-w-56_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-6-w-56	318-u1356a-15r-6-w-56	
	0.3447999954:0.3472000062:0.3079999983:0.0004000000:-0.0012000001:0.0026000000	15	0.0001	SI	0	AMS	This study	318-u1356a-15r-6-w-56_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-6-w-56	318-u1356a-15r-6-w-56	
	0.3446:0.3472:0.3082:0.0005:-0.0014:0.0025	15	0.0002	SI	-1	AMS	This study	318-u1356a-15r-6-w-56_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-6-w-56	318-u1356a-15r-6-w-56	
	0.3445999920:0.3472000062:0.3082000017:0.0005000000:-0.0014000000:0.0024999999	15	0.0002	SI	0	AMS	This study	318-u1356a-15r-6-w-56_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-15r-6-w-56	318-u1356a-15r-6-w-56	
							This study					318-u1356a-17r-1-w-118	318-u1356a-17r-1-w-118	7.000e-06
	0.3498:0.3520:0.2982:0.0002:-0.0005:-0.0001	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-1-w-118	318-u1356a-17r-1-w-118	
	0.3497999907:0.3519999981:0.2982000113:0.0002000000:-0.0005000000:-0.0001000000	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-1-w-118	318-u1356a-17r-1-w-118	
	0.3499:0.3522:0.2978:0.0002:0.0004:-0.0005	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-1-w-118	318-u1356a-17r-1-w-118	
	0.3499000072:0.3522000015:0.2978000045:0.0002000000:0.0004000000:-0.0005000000	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-1-w-118	318-u1356a-17r-1-w-118	
	0.3500:0.3527:0.2973:0.0001:0.0006:-0.0003	15	0.0002	SI	-1	AMS	This study	318-u1356a-17r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-1-w-118	318-u1356a-17r-1-w-118	
	0.3499999940:0.3526999950:0.2973000109:0.0001000000:0.0006000000:-0.0003000000	15	0.0002	SI	0	AMS	This study	318-u1356a-17r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-1-w-118	318-u1356a-17r-1-w-118	
							This study					318-u1356a-17r-2-w-123	318-u1356a-17r-2-w-123	7.000e-06
	0.3523:0.3536:0.2941:-0.0000:0.0014:0.0052	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-2-w-123_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-2-w-123	318-u1356a-17r-2-w-123	
	0.3522999883:0.3535999954:0.2940999866:0.0000000000:0.0014000000:0.0052000000	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-2-w-123_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-2-w-123	318-u1356a-17r-2-w-123	
	0.3514:0.3528:0.2958:-0.0003:0.0015:0.0048	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-2-w-123_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-2-w-123	318-u1356a-17r-2-w-123	
	0.3513999879:0.3528000116:0.2958000004:-0.0003000000:0.0015000000:0.0048000002	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-2-w-123_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-2-w-123	318-u1356a-17r-2-w-123	
	0.3521:0.3534:0.2946:-0.0002:0.0016:0.0049	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-2-w-123_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-2-w-123	318-u1356a-17r-2-w-123	
	0.3521000147:0.3533999920:0.2946000099:-0.0002000000:0.0016000000:0.0049000001	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-2-w-123_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-2-w-123	318-u1356a-17r-2-w-123	
							This study					318-u1356a-17r-3-w-70	318-u1356a-17r-3-w-70	7.000e-06
	0.3529:0.3552:0.2919:-0.0011:0.0018:-0.0035	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-3-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-3-w-70	318-u1356a-17r-3-w-70	
	0.3528999984:0.3551999927:0.2919000089:-0.0011000000:0.0018000000:-0.0035000001	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-3-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-3-w-70	318-u1356a-17r-3-w-70	
	0.3530:0.3553:0.2917:-0.0011:0.0015:-0.0033	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-3-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-3-w-70	318-u1356a-17r-3-w-70	
	0.3529999852:0.3553000093:0.2917000055:-0.0011000000:0.0015000000:-0.0033000000	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-3-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-3-w-70	318-u1356a-17r-3-w-70	
	0.3531:0.3555:0.2914:-0.0011:0.0015:-0.0035	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-3-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-3-w-70	318-u1356a-17r-3-w-70	
	0.3531000018:0.3555000126:0.2913999856:-0.0011000000:0.0015000000:-0.0035000001	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-3-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-3-w-70	318-u1356a-17r-3-w-70	
							This study					318-u1356a-17r-4-w-85	318-u1356a-17r-4-w-85	7.000e-06
	0.3465:0.3489:0.3046:0.0004:-0.0011:-0.0007	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-4-w-85_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-4-w-85	318-u1356a-17r-4-w-85	
	0.3465000093:0.3488999903:0.3046000004:0.0004000000:-0.0011000000:-0.0007000000	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-4-w-85_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-4-w-85	318-u1356a-17r-4-w-85	
	0.3465:0.3490:0.3045:0.0005:-0.0010:-0.0006	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-4-w-85_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-4-w-85	318-u1356a-17r-4-w-85	
	0.3465000093:0.3490000069:0.3045000136:0.0005000000:-0.0010000000:-0.0006000000	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-4-w-85_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-4-w-85	318-u1356a-17r-4-w-85	
	0.3465:0.3490:0.3045:0.0004:-0.0018:-0.0008	15	0.0001	SI	-1	AMS	This study	318-u1356a-17r-4-w-85_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-4-w-85	318-u1356a-17r-4-w-85	
	0.3465000093:0.3490000069:0.3045000136:0.0004000000:-0.0018000000:-0.0008000000	15	0.0001	SI	0	AMS	This study	318-u1356a-17r-4-w-85_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-17r-4-w-85	318-u1356a-17r-4-w-85	
							This study					318-u1356a-18r-1-w-118	318-u1356a-18r-1-w-118	7.000e-06
	0.3382:0.3393:0.3225:0.0006:0.0021:0.0015	15	0.0002	SI	-1	AMS	This study	318-u1356a-18r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-1-w-118	318-u1356a-18r-1-w-118	
	0.3382000029:0.3393000066:0.3224999905:0.0006000000:0.0020999999:0.0015000000	15	0.0002	SI	0	AMS	This study	318-u1356a-18r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-1-w-118	318-u1356a-18r-1-w-118	
	0.3382:0.3391:0.3227:0.0005:0.0023:0.0014	15	0.0001	SI	-1	AMS	This study	318-u1356a-18r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-1-w-118	318-u1356a-18r-1-w-118	
	0.3382000029:0.3391000032:0.3226999938:0.0005000000:0.0023000001:0.0014000000	15	0.0001	SI	0	AMS	This study	318-u1356a-18r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-1-w-118	318-u1356a-18r-1-w-118	
	0.3381:0.3397:0.3223:0.0005:0.0011:0.0017	15	0.0002	SI	-1	AMS	This study	318-u1356a-18r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-1-w-118	318-u1356a-18r-1-w-118	
	0.3380999863:0.3397000134:0.3222999871:0.0005000000:0.0011000000:0.0017000000	15	0.0002	SI	0	AMS	This study	318-u1356a-18r-1-w-118_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-1-w-118	318-u1356a-18r-1-w-118	
							This study					318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	7.000e-06
	0.3464:0.3526:0.3010:0.0006:-0.0031:-0.0002	15	0.0002	SI	-1	AMS	This study	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	
	0.3463999927:0.3526000082:0.3009999990:0.0006000000:-0.0031000001:-0.0002000000	15	0.0002	SI	0	AMS	This study	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	
	0.3464:0.3524:0.3012:0.0005:-0.0032:-0.0002	15	0.0001	SI	-1	AMS	This study	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	
	0.3463999927:0.3524000049:0.3012000024:0.0005000000:-0.0031999999:-0.0002000000	15	0.0001	SI	0	AMS	This study	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	
	0.3464:0.3524:0.3012:0.0006:-0.0025:-0.0002	15	0.0001	SI	-1	AMS	This study	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	
	0.3463999927:0.3524000049:0.3012000024:0.0006000000:-0.0024999999:-0.0002000000	15	0.0001	SI	0	AMS	This study	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	
	0.3464:0.3523:0.3013:0.0006:-0.0027:-0.0001	15	0.0001	SI	-1	AMS	This study	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	
	0.3463999927:0.3522999883:0.3012999892:0.0006000000:-0.0027000001:-0.0001000000	15	0.0001	SI	0	AMS	This study	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	
	0.3463:0.3523:0.3015:0.0005:-0.0030:-0.0001	15	0.0001	SI	-1	AMS	This study	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	
	0.3463000059:0.3522999883:0.3014999926:0.0005000000:-0.0030000000:-0.0001000000	15	0.0001	SI	0	AMS	This study	318-u1356a-20r-1-w-70_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-1-w-70	318-u1356a-20r-1-w-70	
							This study					318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	7.000e-06
	0.3480:0.3475:0.3045:0.0000:0.0037:0.0011	15	0.0002	SI	-1	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3479999900:0.3474999964:0.3045000136:0.0000000000:0.0037000000:0.0011000000	15	0.0002	SI	0	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3472:0.3474:0.3054:0.0001:0.0027:0.0011	15	0.0001	SI	-1	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3472000062:0.3474000096:0.3054000139:0.0001000000:0.0027000001:0.0011000000	15	0.0001	SI	0	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3474:0.3473:0.3053:0.0002:0.0028:0.0011	15	0.0001	SI	-1	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3474000096:0.3472999930:0.3052999973:0.0002000000:0.0027999999:0.0011000000	15	0.0001	SI	0	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3468:0.3468:0.3064:0.0000:0.0030:0.0012	15	0.0002	SI	-1	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3467999995:0.3467999995:0.3064000010:0.0000000000:0.0030000000:0.0012000001	15	0.0002	SI	0	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3478:0.3477:0.3044:-0.0000:0.0027:0.0011	15	0.0002	SI	-1	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3477999866:0.3476999998:0.3043999970:0.0000000000:0.0027000001:0.0011000000	15	0.0002	SI	0	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3476:0.3474:0.3050:-0.0001:0.0026:0.0009	15	0.0001	SI	-1	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
	0.3476000130:0.3474000096:0.3050000072:-0.0001000000:0.0026000000:0.0009000000	15	0.0001	SI	0	AMS	This study	318-u1356a-20r-2-w-36_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-20r-2-w-36	318-u1356a-20r-2-w-36	
							This study					318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	7.000e-06
	0.3555:0.3549:0.2896:-0.0006:-0.0007:0.0012	15	0.0001	SI	-1	AMS	This study	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	
	0.3555000126:0.3549000025:0.2896000147:-0.0006000000:-0.0007000000:0.0012000001	15	0.0001	SI	0	AMS	This study	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	
	0.3547:0.3541:0.2912:-0.0006:-0.0000:0.0010	15	0.0001	SI	-1	AMS	This study	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	
	0.3546999991:0.3540999889:0.2912000120:-0.0006000000:0.0000000000:0.0010000000	15	0.0001	SI	0	AMS	This study	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	
	0.3550:0.3544:0.2905:-0.0006:-0.0011:0.0010	15	0.0001	SI	-1	AMS	This study	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	
	0.3549999893:0.3544000089:0.2904999852:-0.0006000000:-0.0011000000:0.0010000000	15	0.0001	SI	0	AMS	This study	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	
	0.3552:0.3546:0.2902:-0.0006:-0.0011:0.0011	15	0.0001	SI	-1	AMS	This study	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	
	0.3551999927:0.3546000123:0.2901999950:-0.0006000000:-0.0011000000:0.0011000000	15	0.0001	SI	0	AMS	This study	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	
	0.3553:0.3547:0.2900:-0.0006:-0.0004:0.0010	15	0.0001	SI	-1	AMS	This study	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	
	0.3553000093:0.3546999991:0.2899999917:-0.0006000000:-0.0004000000:0.0010000000	15	0.0001	SI	0	AMS	This study	318-u1356a-22r-1-w-142_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-1-w-142	318-u1356a-22r-1-w-142	
							This study					318-u1356a-22r-2-w-40	318-u1356a-22r-2-w-40	7.000e-06
	0.3496:0.3498:0.3006:0.0002:0.0098:-0.0037	15	0.0004	SI	-1	AMS	This study	318-u1356a-22r-2-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-2-w-40	318-u1356a-22r-2-w-40	
	0.3495999873:0.3497999907:0.3005999923:0.0002000000:0.0098000001:-0.0037000000	15	0.0004	SI	0	AMS	This study	318-u1356a-22r-2-w-40_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-22r-2-w-40	318-u1356a-22r-2-w-40	
